TaxiPassangerPredictionExperiment637835711142796650.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 49 	 Accuracy :54.166666666666664 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
Cycle : 5 	  Accuracy:100 	 Number of times repeated 1
cycle : 6 	 Accuracy :0 	 
Cycle : 7 	  Accuracy:100 	 Number of times repeated 1
cycle : 8 	 Accuracy :0 	 
Cycle : 9 	  Accuracy:100 	 Number of times repeated 1
cycle : 10 	 Accuracy :0 	 
Cycle : 11 	  Accuracy:100 	 Number of times repeated 1
cycle : 12 	 Accuracy :0 	 
Cycle : 13 	  Accuracy:100 	 Number of times repeated 1
Cycle : 14 	  Accuracy:100 	 Number of times repeated 2
cycle : 15 	 Accuracy :0 	 
Cycle : 16 	  Accuracy:100 	 Number of times repeated 1
Cycle : 17 	  Accuracy:100 	 Number of times repeated 2
cycle : 18 	 Accuracy :0 	 
Cycle : 19 	  Accuracy:100 	 Number of times repeated 1
Cycle : 20 	  Accuracy:100 	 Number of times repeated 2
cycle : 21 	 Accuracy :0 	 
Cycle : 22 	  Accuracy:100 	 Number of times repeated 1
Cycle : 23 	  Accuracy:100 	 Number of times repeated 2
cycle : 24 	 Accuracy :0 	 
Cycle : 25 	  Accuracy:100 	 Number of times repeated 1
Cycle : 26 	  Accuracy:100 	 Number of times repeated 2
Cycle : 27 	  Accuracy:100 	 Number of times repeated 3
cycle : 28 	 Accuracy :0 	 
Cycle : 29 	  Accuracy:100 	 Number of times repeated 1
Cycle : 30 	  Accuracy:100 	 Number of times repeated 2
Cycle : 31 	  Accuracy:100 	 Number of times repeated 3
cycle : 32 	 Accuracy :0 	 
Cycle : 33 	  Accuracy:100 	 Number of times repeated 1
Cycle : 34 	  Accuracy:100 	 Number of times repeated 2
Cycle : 35 	  Accuracy:100 	 Number of times repeated 3
cycle : 36 	 Accuracy :0 	 
Cycle : 37 	  Accuracy:100 	 Number of times repeated 1
Cycle : 38 	  Accuracy:100 	 Number of times repeated 2
Cycle : 39 	  Accuracy:100 	 Number of times repeated 3
cycle : 40 	 Accuracy :0 	 
Cycle : 41 	  Accuracy:100 	 Number of times repeated 1
Cycle : 42 	  Accuracy:100 	 Number of times repeated 2
Cycle : 43 	  Accuracy:100 	 Number of times repeated 3
Cycle : 44 	  Accuracy:100 	 Number of times repeated 4
cycle : 45 	 Accuracy :0 	 
Cycle : 46 	  Accuracy:100 	 Number of times repeated 1
Cycle : 47 	  Accuracy:100 	 Number of times repeated 2
Cycle : 48 	  Accuracy:100 	 Number of times repeated 3
Cycle : 49 	  Accuracy:100 	 Number of times repeated 4
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :4.166666666666666 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :4.166666666666666 	 
cycle : 4 	 Accuracy :37.5 	 
cycle : 5 	 Accuracy :33.33333333333333 	 
cycle : 6 	 Accuracy :37.5 	 
cycle : 7 	 Accuracy :33.33333333333333 	 
cycle : 8 	 Accuracy :37.5 	 
Cycle: 9 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
cycle : 10 	 Accuracy :29.166666666666668 	 
Cycle: 11 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
cycle : 12 	 Accuracy :41.66666666666667 	 
cycle : 13 	 Accuracy :45.83333333333333 	 
cycle : 14 	 Accuracy :37.5 	 
cycle : 15 	 Accuracy :41.66666666666667 	 
cycle : 16 	 Accuracy :45.83333333333333 	 
cycle : 17 	 Accuracy :41.66666666666667 	 
cycle : 18 	 Accuracy :37.5 	 
cycle : 19 	 Accuracy :41.66666666666667 	 
cycle : 20 	 Accuracy :37.5 	 
Cycle: 21 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
cycle : 22 	 Accuracy :41.66666666666667 	 
Cycle: 23 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
Cycle: 24 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 2
cycle : 25 	 Accuracy :45.83333333333333 	 
Cycle: 26 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
Cycle: 27 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 2
Cycle: 28 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 3
Cycle: 29 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 4
Cycle: 30 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 5
Cycle: 31 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 6
cycle : 32 	 Accuracy :41.66666666666667 	 
cycle : 33 	 Accuracy :45.83333333333333 	 
Cycle: 34 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
Cycle: 35 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 2
Cycle: 36 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 3
Cycle: 37 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 4
Cycle: 38 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 5
cycle : 39 	 Accuracy :41.66666666666667 	 
cycle : 40 	 Accuracy :45.83333333333333 	 
Cycle: 41 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
Cycle: 42 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 2
cycle : 43 	 Accuracy :41.66666666666667 	 
Cycle: 44 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
Cycle: 45 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 2
Cycle: 46 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 3
Cycle: 47 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 4
Cycle: 48 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 5
Cycle: 49 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 6
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :12.5 	 
cycle : 2 	 Accuracy :4.166666666666666 	 
Cycle: 3 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 4 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 5 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 6 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
Cycle: 7 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 5
Cycle: 8 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 6
Cycle: 9 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 7
Cycle: 10 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 8
Cycle: 11 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 9
Cycle: 12 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 10
Cycle: 13 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 11
cycle : 14 	 Accuracy :8.333333333333332 	 
Cycle: 15 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 1
Cycle: 16 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 2
Cycle: 17 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 3
Cycle: 18 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 4
Cycle: 19 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 5
Cycle: 20 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 6
Cycle: 21 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 7
Cycle: 22 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 8
Cycle: 23 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 9
Cycle: 24 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 10
Cycle: 25 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 11
Cycle: 26 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 12
Cycle: 27 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 13
Cycle: 28 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 14
Cycle: 29 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 15
Cycle: 30 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 16
Cycle: 31 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 17
Cycle: 32 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 18
Cycle: 33 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 19
Cycle: 34 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 20
cycle : 35 	 Accuracy :12.5 	 
Cycle: 36 	 Saturated Accuracy : 12.5 	 Number of times repeated 1
cycle : 37 	 Accuracy :16.666666666666664 	 
cycle : 38 	 Accuracy :12.5 	 
Cycle: 39 	 Saturated Accuracy : 12.5 	 Number of times repeated 1
cycle : 40 	 Accuracy :8.333333333333332 	 
Cycle: 41 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 1
cycle : 42 	 Accuracy :12.5 	 
cycle : 43 	 Accuracy :8.333333333333332 	 
Cycle: 44 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 1
Cycle: 45 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 2
cycle : 46 	 Accuracy :12.5 	 
cycle : 47 	 Accuracy :8.333333333333332 	 
cycle : 48 	 Accuracy :12.5 	 
cycle : 49 	 Accuracy :8.333333333333332 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :4.166666666666666 	 
cycle : 1 	 Accuracy :25 	 
cycle : 2 	 Accuracy :20.833333333333336 	 
Cycle: 3 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 1
cycle : 4 	 Accuracy :16.666666666666664 	 
cycle : 5 	 Accuracy :29.166666666666668 	 
cycle : 6 	 Accuracy :33.33333333333333 	 
Cycle: 7 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
Cycle: 8 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 2
Cycle: 9 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 3
cycle : 10 	 Accuracy :29.166666666666668 	 
cycle : 11 	 Accuracy :33.33333333333333 	 
Cycle: 12 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
Cycle: 13 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 2
Cycle: 14 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 3
Cycle: 15 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 4
Cycle: 16 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 5
Cycle: 17 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 6
Cycle: 18 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 7
Cycle: 19 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 8
Cycle: 20 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 9
Cycle: 21 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 10
Cycle: 22 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 11
Cycle: 23 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 12
Cycle: 24 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 13
Cycle: 25 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 14
Cycle: 26 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 15
cycle : 27 	 Accuracy :37.5 	 
Cycle: 28 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
Cycle: 29 	 Saturated Accuracy : 37.5 	 Number of times repeated 2
Cycle: 30 	 Saturated Accuracy : 37.5 	 Number of times repeated 3
Cycle: 31 	 Saturated Accuracy : 37.5 	 Number of times repeated 4
Cycle: 32 	 Saturated Accuracy : 37.5 	 Number of times repeated 5
Cycle: 33 	 Saturated Accuracy : 37.5 	 Number of times repeated 6
Cycle: 34 	 Saturated Accuracy : 37.5 	 Number of times repeated 7
Cycle: 35 	 Saturated Accuracy : 37.5 	 Number of times repeated 8
Cycle: 36 	 Saturated Accuracy : 37.5 	 Number of times repeated 9
Cycle: 37 	 Saturated Accuracy : 37.5 	 Number of times repeated 10
Cycle: 38 	 Saturated Accuracy : 37.5 	 Number of times repeated 11
Cycle: 39 	 Saturated Accuracy : 37.5 	 Number of times repeated 12
Cycle: 40 	 Saturated Accuracy : 37.5 	 Number of times repeated 13
Cycle: 41 	 Saturated Accuracy : 37.5 	 Number of times repeated 14
Cycle: 42 	 Saturated Accuracy : 37.5 	 Number of times repeated 15
Cycle: 43 	 Saturated Accuracy : 37.5 	 Number of times repeated 16
Cycle: 44 	 Saturated Accuracy : 37.5 	 Number of times repeated 17
Cycle: 45 	 Saturated Accuracy : 37.5 	 Number of times repeated 18
Cycle: 46 	 Saturated Accuracy : 37.5 	 Number of times repeated 19
Cycle: 47 	 Saturated Accuracy : 37.5 	 Number of times repeated 20
Cycle: 48 	 Saturated Accuracy : 37.5 	 Number of times repeated 21
Cycle: 49 	 Saturated Accuracy : 37.5 	 Number of times repeated 22
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :4.166666666666666 	 
Cycle: 2 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 3 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 4 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 5 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
Cycle: 6 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 5
Cycle: 7 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 6
Cycle: 8 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 7
Cycle: 9 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 8
Cycle: 10 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 9
Cycle: 11 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 10
Cycle: 12 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 11
Cycle: 13 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 12
Cycle: 14 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 13
Cycle: 15 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 14
Cycle: 16 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 15
Cycle: 17 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 16
Cycle: 18 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 17
Cycle: 19 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 18
Cycle: 20 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 19
Cycle: 21 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 20
Cycle: 22 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 21
Cycle: 23 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 22
Cycle: 24 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 23
Cycle: 25 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 24
Cycle: 26 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 25
Cycle: 27 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 26
Cycle: 28 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 27
Cycle: 29 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 28
Cycle: 30 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 29
Cycle: 31 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 30
Cycle: 32 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 31
Cycle: 33 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 32
Cycle: 34 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 33
Cycle: 35 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 34
Cycle: 36 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 35
Cycle: 37 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 36
Cycle: 38 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 37
Cycle: 39 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 38
Cycle: 40 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 39
Cycle: 41 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 40
Cycle: 42 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 41
Cycle: 43 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 42
Cycle: 44 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 43
Cycle: 45 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 44
Cycle: 46 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 45
Cycle: 47 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 46
Cycle: 48 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 47
Cycle: 49 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 48
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :4.3478260869565215 	 
Cycle: 2 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 1
Cycle: 3 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 2
Cycle: 4 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 3
Cycle: 5 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 4
Cycle: 6 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 5
Cycle: 7 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 6
Cycle: 8 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 7
Cycle: 9 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 8
Cycle: 10 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 9
Cycle: 11 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 10
Cycle: 12 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 11
Cycle: 13 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 12
Cycle: 14 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 13
Cycle: 15 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 14
Cycle: 16 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 15
Cycle: 17 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 16
Cycle: 18 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 17
Cycle: 19 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 18
Cycle: 20 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 19
Cycle: 21 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 20
Cycle: 22 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 21
Cycle: 23 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 22
Cycle: 24 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 23
Cycle: 25 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 24
Cycle: 26 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 25
Cycle: 27 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 26
Cycle: 28 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 27
Cycle: 29 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 28
Cycle: 30 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 29
Cycle: 31 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 30
Cycle: 32 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 31
Cycle: 33 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 32
Cycle: 34 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 33
Cycle: 35 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 34
Cycle: 36 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 35
Cycle: 37 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 36
Cycle: 38 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 37
Cycle: 39 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 38
Cycle: 40 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 39
Cycle: 41 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 40
Cycle: 42 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 41
Cycle: 43 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 42
Cycle: 44 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 43
Cycle: 45 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 44
Cycle: 46 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 45
Cycle: 47 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 46
Cycle: 48 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 47
Cycle: 49 	 Saturated Accuracy : 4.3478260869565215 	 Number of times repeated 48
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :4.166666666666666 	 
Cycle: 1 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 2 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 3 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 4 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
Cycle: 5 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 5
Cycle: 6 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 6
Cycle: 7 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 7
Cycle: 8 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 8
Cycle: 9 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 9
Cycle: 10 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 10
Cycle: 11 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 11
Cycle: 12 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 12
Cycle: 13 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 13
Cycle: 14 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 14
Cycle: 15 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 15
Cycle: 16 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 16
Cycle: 17 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 17
Cycle: 18 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 18
Cycle: 19 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 19
Cycle: 20 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 20
Cycle: 21 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 21
Cycle: 22 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 22
Cycle: 23 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 23
Cycle: 24 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 24
Cycle: 25 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 25
Cycle: 26 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 26
Cycle: 27 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 27
Cycle: 28 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 28
Cycle: 29 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 29
Cycle: 30 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 30
Cycle: 31 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 31
Cycle: 32 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 32
Cycle: 33 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 33
Cycle: 34 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 34
Cycle: 35 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 35
Cycle: 36 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 36
Cycle: 37 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 37
Cycle: 38 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 38
Cycle: 39 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 39
Cycle: 40 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 40
Cycle: 41 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 41
Cycle: 42 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 42
