--------------- %d -------------- 512
3072 61 37  4.610E-53
3072 61 36  8.153E-51
3072 61 35  1.296E-48
3072 61 34  1.858E-46
3072 61 33  2.404E-44
3072 61 32  2.814E-42
3072 61 31  2.984E-40
3072 61 30  2.869E-38
3072 61 29  2.505E-36
3072 61 28  1.987E-34
3072 61 27  1.433E-32
3072 61 26  9.406E-31
3072 61 25  5.615E-29
3072 61 24  3.051E-27
3072 61 23  1.508E-25
3072 61 22  6.779E-24
3072 61 21  2.770E-22
--------------- %d -------------- 3584
3584 71 71 7.459E-151
3584 71 70 1.860E-145
3584 71 69 1.143E-140
3584 71 68 3.078E-136
3584 71 67 4.591E-132
3584 71 66 4.317E-128
3584 71 65 2.777E-124
3584 71 64 1.292E-120
3584 71 63 4.529E-117
3584 71 62 1.235E-113
3584 71 61 2.682E-110
3584 71 60 4.737E-107
3584 71 59 6.912E-104
3584 71 58 8.448E-101
3584 71 57  8.750E-98
3584 71 56  7.756E-95
3584 71 55  5.935E-92
3584 71 54  3.950E-89
3584 71 53  2.301E-86
3584 71 52  1.181E-83
3584 71 51  5.364E-81
3584 71 50  2.167E-78
3584 71 49  7.816E-76
3584 71 48  2.527E-73
3584 71 47  7.350E-71
3584 71 46  1.929E-68
3584 71 45  4.577E-66
3584 71 44  9.853E-64
3584 71 43  1.928E-61
3584 71 42  3.435E-59
3584 71 41  5.584E-57
3584 71 40  8.298E-55
3584 71 39  1.129E-52
3584 71 38  1.407E-50
3584 71 37  1.610E-48
3584 71 36  1.691E-46
3584 71 35  1.634E-44
3584 71 34  1.453E-42
3584 71 33  1.189E-40
3584 71 32  8.964E-39
3584 71 31  6.228E-37
3584 71 30  3.989E-35
3584 71 29  2.355E-33
3584 71 28  1.282E-31
3584 71 27  6.435E-30
3584 71 26  2.976E-28
3584 71 25  1.268E-26
3584 71 24  4.976E-25
--------------- %d -------------- 4096
4096 81 81 3.220E-172
4096 81 80 1.047E-166
4096 81 79 8.407E-162
4096 81 78 2.961E-157
4096 81 77 5.792E-153
4096 81 76 7.155E-149
4096 81 75 6.057E-145
4096 81 74 3.717E-141
4096 81 73 1.723E-137
4096 81 72 6.221E-134
4096 81 71 1.794E-130
4096 81 70 4.216E-127
4096 81 69 8.207E-124
4096 81 68 1.341E-120
4096 81 67 1.862E-117
4096 81 66 2.219E-114
4096 81 65 2.288E-111
4096 81 64 2.058E-108
4096 81 63 1.625E-105
4096 81 62 1.134E-102
4096 81 61 7.022E-100
4096 81 60  3.880E-97
4096 81 59  1.921E-94
4096 81 58  8.556E-92
4096 81 57  3.439E-89
4096 81 56  1.252E-86
4096 81 55  4.138E-84
4096 81 54  1.245E-81
4096 81 53  3.420E-79
4096 81 52  8.594E-77
4096 81 51  1.979E-74
4096 81 50  4.186E-72
4096 81 49  8.143E-70
4096 81 48  1.459E-67
4096 81 47  2.413E-65
4096 81 46  3.685E-63
4096 81 45  5.206E-61
4096 81 44  6.809E-59
4096 81 43  8.254E-57
4096 81 42  9.280E-55
4096 81 41  9.686E-53
4096 81 40  9.390E-51
4096 81 39  8.462E-49
4096 81 38  7.091E-47
4096 81 37  5.528E-45
4096 81 36  4.011E-43
4096 81 35  2.709E-41
4096 81 34  1.704E-39
4096 81 33  9.977E-38
4096 81 32  5.440E-36
4096 81 31  2.761E-34
4096 81 30  1.305E-32
4096 81 29  5.739E-31
4096 81 28  2.348E-29
--------------- %d -------------- 4608
4608 92 92 2.810E-195
4608 92 91 1.168E-189
4608 92 90 1.199E-184
4608 92 89 5.414E-180
4608 92 88 1.359E-175
4608 92 87 2.159E-171
4608 92 86 2.353E-167
4608 92 85 1.863E-163
4608 92 84 1.115E-159
4608 92 83 5.215E-156
4608 92 82 1.951E-152
4608 92 81 5.957E-149
4608 92 80 1.510E-145
4608 92 79 3.218E-142
4608 92 78 5.841E-139
4608 92 77 9.116E-136
4608 92 76 1.234E-132
4608 92 75 1.461E-129
4608 92 74 1.521E-126
4608 92 73 1.402E-123
4608 92 72 1.151E-120
4608 92 71 8.449E-118
4608 92 70 5.571E-115
4608 92 69 3.313E-112
4608 92 68 1.783E-109
4608 92 67 8.715E-107
4608 92 66 3.879E-104
4608 92 65 1.577E-101
4608 92 64  5.869E-99
4608 92 63  2.004E-96
4608 92 62  6.295E-94
4608 92 61  1.822E-91
4608 92 60  4.868E-89
4608 92 59  1.203E-86
4608 92 58  2.752E-84
4608 92 57  5.839E-82
4608 92 56  1.151E-79
4608 92 55  2.109E-77
4608 92 54  3.598E-75
4608 92 53  5.720E-73
4608 92 52  8.483E-71
4608 92 51  1.175E-68
4608 92 50  1.520E-66
4608 92 49  1.838E-64
4608 92 48  2.081E-62
4608 92 47  2.206E-60
4608 92 46  2.191E-58
4608 92 45  2.039E-56
4608 92 44  1.780E-54
4608 92 43  1.458E-52
4608 92 42  1.120E-50
4608 92 41  8.076E-49
4608 92 40  5.468E-47
4608 92 39  3.476E-45
4608 92 38  2.075E-43
4608 92 37  1.163E-41
4608 92 36  6.120E-40
4608 92 35  3.025E-38
4608 92 34  1.403E-36
4608 92 33  6.110E-35
4608 92 32  2.496E-33
4608 92 31  9.566E-32
PS C:\dev\git\phd\neocortexapi\Python\Sparse>  c:; cd 'c:\dev\git\phd\neocortexapi\Python\Sparse'; & 'C:\Users\DamirDobric\AppData\Local\Microsoft\WindowsApps\python3.9.exe' 'c:\Users\DamirDobric\.vscode\extensions\ms-python.python-2021.12.1559732655\pythonFiles\lib\python\debugpy\launcher' '58957' '--' 'c:\dev\git\phd\neocortexapi\Python\Sparse\sparseerrorpropability.py' 
 EXPERIMENT False Positives 
--------------- %d -------------- 512
512 10  3.202E-21
512 9  1.608E-17
512 8  1.812E-14
512 7  8.054E-12
512 6  1.758E-09
512 5  2.102E-07
512 4  1.451E-05
--------------- %d -------------- 1024
1024 20  1.825E-42
1024 19  3.664E-38
1024 18  1.746E-34
1024 17  3.498E-31
1024 16  3.721E-28
1024 15  2.381E-25
1024 14  9.912E-23
1024 13  2.826E-20
1024 12  5.724E-18
1024 11  8.446E-16
1024 10  9.244E-14
1024 9  7.594E-12
1024 8  4.713E-10
1024 7  2.213E-08
--------------- %d -------------- 1536
1536 30  9.031E-64
1536 29  4.080E-59
1536 28  4.452E-55
1536 27  2.083E-51
1536 26  5.283E-48
1536 25  8.253E-45
1536 24  8.602E-42
1536 23  6.320E-39
1536 22  3.405E-36
1536 21  1.385E-33
1536 20  4.355E-31
1536 19  1.077E-28
1536 18  2.124E-26
1536 17  3.380E-24
1536 16  4.377E-22
1536 15  4.644E-20
1536 14  4.057E-18
1536 13  2.928E-16
1536 12  1.749E-14
1536 11  8.653E-13
--------------- %d -------------- 2048
2048 40  4.216E-85
2048 39  3.386E-80
2048 38  6.627E-76
2048 37  5.613E-72
2048 36  2.602E-68
2048 35  7.510E-65
2048 34  1.462E-61
2048 33  2.032E-58
2048 32  2.096E-55
2048 31  1.656E-52
2048 30  1.026E-49
2048 29  5.084E-47
2048 28  2.045E-44
2048 27  6.762E-42
2048 26  1.858E-39
2048 25  4.282E-37
2048 24  8.333E-35
2048 23  1.379E-32
2048 22  1.948E-30
2048 21  2.363E-28
2048 20  2.467E-26
2048 19  2.225E-24
2048 18  1.735E-22
2048 17  1.173E-20
2048 16  6.870E-19
2048 15  3.489E-17
2048 14  1.535E-15
--------------- %d -------------- 2560
2560 51 3.874E-108
2560 50 4.957E-103
2560 49  1.554E-98
2560 48  2.121E-94
2560 47  1.595E-90
2560 46  7.510E-87
2560 45  2.403E-83
2560 44  5.523E-80
2560 43  9.501E-77
2560 42  1.261E-73
2560 41  1.324E-70
2560 40  1.122E-67
2560 39  7.782E-65
2560 38  4.484E-62
2560 37  2.170E-59
2560 36  8.903E-57
2560 35  3.123E-54
2560 34  9.428E-52
2560 33  2.465E-49
2560 32  5.614E-47
2560 31  1.118E-44
2560 30  1.957E-42
2560 29  3.017E-40
2560 28  4.114E-38
2560 27  4.971E-36
2560 26  5.337E-34
2560 25  5.099E-32
2560 24  4.342E-30
2560 23  3.299E-28
2560 22  2.238E-26
2560 21  1.357E-24
2560 20  7.351E-23
2560 19  3.558E-21
2560 18  1.537E-19
--------------- %d -------------- 3072
3072 61 1.711E-129
3072 60 3.143E-124
3072 59 1.419E-119
3072 58 2.799E-115
3072 57 3.052E-111
3072 56 2.092E-107
3072 55 9.784E-104
3072 54 3.300E-100
3072 53  8.364E-97
3072 52  1.643E-93
3072 51  2.566E-90
3072 50  3.245E-87
3072 49  3.380E-84
3072 48  2.939E-81
3072 47  2.158E-78
3072 46  1.351E-75
3072 45  7.273E-73
3072 44  3.392E-70
3072 43  1.379E-67
3072 42  4.917E-65
3072 41  1.545E-62
3072 40  4.295E-60
3072 39  1.061E-57
3072 38  2.339E-55
3072 37  4.610E-53
3072 36  8.153E-51
3072 35  1.296E-48
3072 34  1.858E-46
3072 33  2.404E-44
3072 32  2.814E-42
3072 31  2.984E-40
3072 30  2.869E-38
3072 29  2.505E-36
3072 28  1.987E-34
3072 27  1.433E-32
3072 26  9.406E-31
3072 25  5.615E-29
3072 24  3.051E-27
3072 23  1.508E-25
3072 22  6.779E-24
3072 21  2.770E-22
--------------- %d -------------- 3584
3584 71 7.459E-151
3584 70 1.860E-145
3584 69 1.143E-140
3584 68 3.078E-136
3584 67 4.591E-132
3584 66 4.317E-128
3584 65 2.777E-124
3584 64 1.292E-120
3584 63 4.529E-117
3584 62 1.235E-113
3584 61 2.682E-110
3584 60 4.737E-107
3584 59 6.912E-104
3584 58 8.448E-101
3584 57  8.750E-98
3584 56  7.756E-95
3584 55  5.935E-92
3584 54  3.950E-89
3584 53  2.301E-86
3584 52  1.181E-83
3584 51  5.364E-81
3584 50  2.167E-78
3584 49  7.816E-76
3584 48  2.527E-73
3584 47  7.350E-71
3584 46  1.929E-68
3584 45  4.577E-66
3584 44  9.853E-64
3584 43  1.928E-61
3584 42  3.435E-59
3584 41  5.584E-57
3584 40  8.298E-55
3584 39  1.129E-52
3584 38  1.407E-50
3584 37  1.610E-48
3584 36  1.691E-46
3584 35  1.634E-44
3584 34  1.453E-42
3584 33  1.189E-40
3584 32  8.964E-39
3584 31  6.228E-37
3584 30  3.989E-35
3584 29  2.355E-33
3584 28  1.282E-31
3584 27  6.435E-30
3584 26  2.976E-28
3584 25  1.268E-26
3584 24  4.976E-25
--------------- %d -------------- 4096
4096 81 3.220E-172
4096 80 1.047E-166
4096 79 8.407E-162
4096 78 2.961E-157
4096 77 5.792E-153
4096 76 7.155E-149
4096 75 6.057E-145
4096 74 3.717E-141
4096 73 1.723E-137
4096 72 6.221E-134
4096 71 1.794E-130
4096 70 4.216E-127
4096 69 8.207E-124
4096 68 1.341E-120
4096 67 1.862E-117
4096 66 2.219E-114
4096 65 2.288E-111
4096 64 2.058E-108
4096 63 1.625E-105
4096 62 1.134E-102
4096 61 7.022E-100
4096 60  3.880E-97
4096 59  1.921E-94
4096 58  8.556E-92
4096 57  3.439E-89
4096 56  1.252E-86
4096 55  4.138E-84
4096 54  1.245E-81
4096 53  3.420E-79
4096 52  8.594E-77
4096 51  1.979E-74
4096 50  4.186E-72
4096 49  8.143E-70
4096 48  1.459E-67
4096 47  2.413E-65
4096 46  3.685E-63
4096 45  5.206E-61
4096 44  6.809E-59
4096 43  8.254E-57
4096 42  9.280E-55
4096 41  9.686E-53
4096 40  9.390E-51
4096 39  8.462E-49
4096 38  7.091E-47
4096 37  5.528E-45
4096 36  4.011E-43
4096 35  2.709E-41
4096 34  1.704E-39
4096 33  9.977E-38
4096 32  5.440E-36
4096 31  2.761E-34
4096 30  1.305E-32
4096 29  5.739E-31
4096 28  2.348E-29
--------------- %d -------------- 4608
4608 92 2.810E-195
4608 91 1.168E-189
4608 90 1.199E-184
4608 89 5.414E-180
4608 88 1.359E-175
4608 87 2.159E-171
4608 86 2.353E-167
4608 85 1.863E-163
4608 84 1.115E-159
4608 83 5.215E-156
4608 82 1.951E-152
4608 81 5.957E-149
4608 80 1.510E-145
4608 79 3.218E-142
4608 78 5.841E-139
4608 77 9.116E-136
4608 76 1.234E-132
4608 75 1.461E-129
4608 74 1.521E-126
4608 73 1.402E-123
4608 72 1.151E-120
4608 71 8.449E-118
4608 70 5.571E-115
4608 69 3.313E-112
4608 68 1.783E-109
4608 67 8.715E-107
4608 66 3.879E-104
4608 65 1.577E-101
4608 64  5.869E-99
4608 63  2.004E-96
4608 62  6.295E-94
4608 61  1.822E-91
4608 60  4.868E-89
4608 59  1.203E-86
4608 58  2.752E-84
4608 57  5.839E-82
4608 56  1.151E-79
4608 55  2.109E-77
4608 54  3.598E-75
4608 53  5.720E-73
4608 52  8.483E-71
4608 51  1.175E-68
4608 50  1.520E-66
4608 49  1.838E-64
4608 48  2.081E-62
4608 47  2.206E-60
4608 46  2.191E-58
4608 45  2.039E-56
4608 44  1.780E-54
4608 43  1.458E-52
4608 42  1.120E-50
4608 41  8.076E-49
4608 40  5.468E-47
4608 39  3.476E-45
4608 38  2.075E-43
4608 37  1.163E-41
4608 36  6.120E-40
4608 35  3.025E-38
4608 34  1.403E-36
4608 33  6.110E-35
4608 32  2.496E-33
4608 31  9.566E-32
