TaxiPassangerPredictionExperiment637835742529422044.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :4.166666666666666 	 
cycle : 17 	 Accuracy :41.66666666666667 	 
Cycle: 18 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
Cycle: 19 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 2
cycle : 20 	 Accuracy :50 	 
cycle : 21 	 Accuracy :54.166666666666664 	 
cycle : 22 	 Accuracy :50 	 
Cycle: 23 	 Saturated Accuracy : 50 	 Number of times repeated 1
cycle : 24 	 Accuracy :45.83333333333333 	 
cycle : 25 	 Accuracy :58.333333333333336 	 
cycle : 26 	 Accuracy :50 	 
cycle : 27 	 Accuracy :58.333333333333336 	 
cycle : 28 	 Accuracy :54.166666666666664 	 
cycle : 29 	 Accuracy :50 	 
cycle : 30 	 Accuracy :58.333333333333336 	 
Cycle: 31 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
cycle : 32 	 Accuracy :37.5 	 
cycle : 33 	 Accuracy :62.5 	 
Cycle: 34 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 35 	 Accuracy :45.83333333333333 	 
cycle : 36 	 Accuracy :58.333333333333336 	 
cycle : 37 	 Accuracy :62.5 	 
cycle : 38 	 Accuracy :58.333333333333336 	 
cycle : 39 	 Accuracy :54.166666666666664 	 
Cycle: 40 	 Saturated Accuracy : 54.166666666666664 	 Number of times repeated 1
cycle : 41 	 Accuracy :58.333333333333336 	 
cycle : 42 	 Accuracy :70.83333333333334 	 
cycle : 43 	 Accuracy :62.5 	 
cycle : 44 	 Accuracy :58.333333333333336 	 
cycle : 45 	 Accuracy :66.66666666666666 	 
cycle : 46 	 Accuracy :62.5 	 
cycle : 47 	 Accuracy :58.333333333333336 	 
cycle : 48 	 Accuracy :41.66666666666667 	 
cycle : 49 	 Accuracy :45.83333333333333 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :25 	 
cycle : 2 	 Accuracy :45.83333333333333 	 
Cycle: 3 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
cycle : 4 	 Accuracy :41.66666666666667 	 
cycle : 5 	 Accuracy :50 	 
cycle : 6 	 Accuracy :41.66666666666667 	 
cycle : 7 	 Accuracy :58.333333333333336 	 
cycle : 8 	 Accuracy :70.83333333333334 	 
cycle : 9 	 Accuracy :66.66666666666666 	 
cycle : 10 	 Accuracy :75 	 
cycle : 11 	 Accuracy :66.66666666666666 	 
Cycle: 12 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
cycle : 13 	 Accuracy :87.5 	 
cycle : 14 	 Accuracy :33.33333333333333 	 
Cycle: 15 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
cycle : 16 	 Accuracy :8.333333333333332 	 
cycle : 17 	 Accuracy :33.33333333333333 	 
cycle : 18 	 Accuracy :45.83333333333333 	 
cycle : 19 	 Accuracy :33.33333333333333 	 
Cycle: 20 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
cycle : 21 	 Accuracy :45.83333333333333 	 
cycle : 22 	 Accuracy :37.5 	 
cycle : 23 	 Accuracy :45.83333333333333 	 
Cycle: 24 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
Cycle: 25 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 2
Cycle: 26 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 3
cycle : 27 	 Accuracy :41.66666666666667 	 
cycle : 28 	 Accuracy :50 	 
cycle : 29 	 Accuracy :54.166666666666664 	 
cycle : 30 	 Accuracy :50 	 
cycle : 31 	 Accuracy :45.83333333333333 	 
Cycle: 32 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
cycle : 33 	 Accuracy :37.5 	 
Cycle: 34 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
cycle : 35 	 Accuracy :41.66666666666667 	 
cycle : 36 	 Accuracy :37.5 	 
cycle : 37 	 Accuracy :41.66666666666667 	 
Cycle: 38 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 39 	 Accuracy :45.83333333333333 	 
cycle : 40 	 Accuracy :50 	 
Cycle: 41 	 Saturated Accuracy : 50 	 Number of times repeated 1
cycle : 42 	 Accuracy :54.166666666666664 	 
cycle : 43 	 Accuracy :45.83333333333333 	 
cycle : 44 	 Accuracy :50 	 
cycle : 45 	 Accuracy :45.83333333333333 	 
Cycle: 46 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
cycle : 47 	 Accuracy :66.66666666666666 	 
cycle : 48 	 Accuracy :50 	 
cycle : 49 	 Accuracy :54.166666666666664 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :41.66666666666667 	 
cycle : 2 	 Accuracy :37.5 	 
cycle : 3 	 Accuracy :41.66666666666667 	 
cycle : 4 	 Accuracy :37.5 	 
Cycle: 5 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
Cycle: 6 	 Saturated Accuracy : 37.5 	 Number of times repeated 2
Cycle: 7 	 Saturated Accuracy : 37.5 	 Number of times repeated 3
cycle : 8 	 Accuracy :41.66666666666667 	 
cycle : 9 	 Accuracy :37.5 	 
Cycle: 10 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
Cycle: 11 	 Saturated Accuracy : 37.5 	 Number of times repeated 2
Cycle: 12 	 Saturated Accuracy : 37.5 	 Number of times repeated 3
cycle : 13 	 Accuracy :33.33333333333333 	 
Cycle: 14 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
Cycle: 15 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 2
Cycle: 16 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 3
Cycle: 17 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 4
Cycle: 18 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 5
cycle : 19 	 Accuracy :37.5 	 
cycle : 20 	 Accuracy :33.33333333333333 	 
Cycle: 21 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
Cycle: 22 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 2
Cycle: 23 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 3
Cycle: 24 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 4
Cycle: 25 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 5
Cycle: 26 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 6
Cycle: 27 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 7
cycle : 28 	 Accuracy :29.166666666666668 	 
Cycle: 29 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
cycle : 30 	 Accuracy :33.33333333333333 	 
Cycle: 31 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
Cycle: 32 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 2
Cycle: 33 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 3
Cycle: 34 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 4
cycle : 35 	 Accuracy :29.166666666666668 	 
Cycle: 36 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
Cycle: 37 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 2
Cycle: 38 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 3
Cycle: 39 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 4
Cycle: 40 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 5
Cycle: 41 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 6
Cycle: 42 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 7
Cycle: 43 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 8
Cycle: 44 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 9
cycle : 45 	 Accuracy :33.33333333333333 	 
cycle : 46 	 Accuracy :29.166666666666668 	 
cycle : 47 	 Accuracy :33.33333333333333 	 
Cycle: 48 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
Cycle: 49 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 2
****Sequence Ending*****
