TaxiPassangerPredictionExperiment637841020698291180.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :12.5 	 
cycle : 8 	 Accuracy :50 	 
cycle : 9 	 Accuracy :37.5 	 
cycle : 10 	 Accuracy :50 	 
cycle : 11 	 Accuracy :41.66666666666667 	 
cycle : 12 	 Accuracy :45.83333333333333 	 
cycle : 13 	 Accuracy :66.66666666666666 	 
cycle : 14 	 Accuracy :58.333333333333336 	 
cycle : 15 	 Accuracy :66.66666666666666 	 
cycle : 16 	 Accuracy :62.5 	 
Cycle: 17 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
Cycle: 18 	 Saturated Accuracy : 62.5 	 Number of times repeated 2
cycle : 19 	 Accuracy :58.333333333333336 	 
cycle : 20 	 Accuracy :66.66666666666666 	 
cycle : 21 	 Accuracy :70.83333333333334 	 
cycle : 22 	 Accuracy :62.5 	 
cycle : 23 	 Accuracy :66.66666666666666 	 
Cycle: 24 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
Cycle: 25 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 2
Cycle: 26 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 3
Cycle: 27 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 4
Cycle: 28 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 5
cycle : 29 	 Accuracy :75 	 
Cycle: 30 	 Saturated Accuracy : 75 	 Number of times repeated 1
cycle : 31 	 Accuracy :62.5 	 
Cycle: 32 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
Cycle: 33 	 Saturated Accuracy : 62.5 	 Number of times repeated 2
Cycle: 34 	 Saturated Accuracy : 62.5 	 Number of times repeated 3
Cycle: 35 	 Saturated Accuracy : 62.5 	 Number of times repeated 4
cycle : 36 	 Accuracy :58.333333333333336 	 
cycle : 37 	 Accuracy :75 	 
cycle : 38 	 Accuracy :66.66666666666666 	 
cycle : 39 	 Accuracy :70.83333333333334 	 
Cycle: 40 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
Cycle: 41 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 2
Cycle: 42 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 3
Cycle: 43 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 4
cycle : 44 	 Accuracy :66.66666666666666 	 
cycle : 45 	 Accuracy :70.83333333333334 	 
cycle : 46 	 Accuracy :75 	 
cycle : 47 	 Accuracy :70.83333333333334 	 
Cycle: 48 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
Cycle: 49 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 2
Cycle: 50 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 3
Cycle: 51 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 4
cycle : 52 	 Accuracy :66.66666666666666 	 
cycle : 53 	 Accuracy :70.83333333333334 	 
cycle : 54 	 Accuracy :66.66666666666666 	 
cycle : 55 	 Accuracy :79.16666666666666 	 
cycle : 56 	 Accuracy :75 	 
cycle : 57 	 Accuracy :79.16666666666666 	 
cycle : 58 	 Accuracy :70.83333333333334 	 
cycle : 59 	 Accuracy :79.16666666666666 	 
cycle : 60 	 Accuracy :70.83333333333334 	 
Cycle: 61 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
cycle : 62 	 Accuracy :75 	 
cycle : 63 	 Accuracy :66.66666666666666 	 
cycle : 64 	 Accuracy :62.5 	 
Cycle: 65 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
Cycle: 66 	 Saturated Accuracy : 62.5 	 Number of times repeated 2
cycle : 67 	 Accuracy :75 	 
cycle : 68 	 Accuracy :70.83333333333334 	 
cycle : 69 	 Accuracy :66.66666666666666 	 
cycle : 70 	 Accuracy :79.16666666666666 	 
cycle : 71 	 Accuracy :70.83333333333334 	 
Cycle: 72 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
cycle : 73 	 Accuracy :62.5 	 
Cycle: 74 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
Cycle: 75 	 Saturated Accuracy : 62.5 	 Number of times repeated 2
Cycle: 76 	 Saturated Accuracy : 62.5 	 Number of times repeated 3
Cycle: 77 	 Saturated Accuracy : 62.5 	 Number of times repeated 4
cycle : 78 	 Accuracy :66.66666666666666 	 
cycle : 79 	 Accuracy :70.83333333333334 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :4.166666666666666 	 
cycle : 1 	 Accuracy :20.833333333333336 	 
cycle : 2 	 Accuracy :33.33333333333333 	 
cycle : 3 	 Accuracy :29.166666666666668 	 
cycle : 4 	 Accuracy :37.5 	 
cycle : 5 	 Accuracy :45.83333333333333 	 
cycle : 6 	 Accuracy :41.66666666666667 	 
cycle : 7 	 Accuracy :33.33333333333333 	 
cycle : 8 	 Accuracy :37.5 	 
cycle : 9 	 Accuracy :45.83333333333333 	 
Cycle: 10 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
cycle : 11 	 Accuracy :41.66666666666667 	 
cycle : 12 	 Accuracy :54.166666666666664 	 
cycle : 13 	 Accuracy :58.333333333333336 	 
Cycle: 14 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
cycle : 15 	 Accuracy :62.5 	 
cycle : 16 	 Accuracy :66.66666666666666 	 
cycle : 17 	 Accuracy :70.83333333333334 	 
cycle : 18 	 Accuracy :66.66666666666666 	 
cycle : 19 	 Accuracy :62.5 	 
cycle : 20 	 Accuracy :66.66666666666666 	 
Cycle: 21 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
Cycle: 22 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 2
cycle : 23 	 Accuracy :62.5 	 
Cycle: 24 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 25 	 Accuracy :50 	 
Cycle: 26 	 Saturated Accuracy : 50 	 Number of times repeated 1
cycle : 27 	 Accuracy :54.166666666666664 	 
cycle : 28 	 Accuracy :62.5 	 
cycle : 29 	 Accuracy :58.333333333333336 	 
cycle : 30 	 Accuracy :62.5 	 
Cycle: 31 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 32 	 Accuracy :54.166666666666664 	 
cycle : 33 	 Accuracy :58.333333333333336 	 
cycle : 34 	 Accuracy :62.5 	 
cycle : 35 	 Accuracy :66.66666666666666 	 
cycle : 36 	 Accuracy :62.5 	 
Cycle: 37 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 38 	 Accuracy :66.66666666666666 	 
Cycle: 39 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
cycle : 40 	 Accuracy :70.83333333333334 	 
cycle : 41 	 Accuracy :66.66666666666666 	 
Cycle: 42 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
cycle : 43 	 Accuracy :62.5 	 
Cycle: 44 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 45 	 Accuracy :66.66666666666666 	 
cycle : 46 	 Accuracy :70.83333333333334 	 
Cycle: 47 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
Cycle: 48 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 2
Cycle: 49 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 3
Cycle: 50 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 4
cycle : 51 	 Accuracy :66.66666666666666 	 
cycle : 52 	 Accuracy :70.83333333333334 	 
Cycle: 53 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
Cycle: 54 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 2
cycle : 55 	 Accuracy :66.66666666666666 	 
cycle : 56 	 Accuracy :70.83333333333334 	 
Cycle: 57 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
cycle : 58 	 Accuracy :66.66666666666666 	 
Cycle: 59 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
Cycle: 60 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 2
cycle : 61 	 Accuracy :70.83333333333334 	 
Cycle: 62 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
Cycle: 63 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 2
Cycle: 64 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 3
Cycle: 65 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 4
Cycle: 66 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 5
Cycle: 67 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 6
cycle : 68 	 Accuracy :66.66666666666666 	 
cycle : 69 	 Accuracy :70.83333333333334 	 
cycle : 70 	 Accuracy :66.66666666666666 	 
cycle : 71 	 Accuracy :70.83333333333334 	 
cycle : 72 	 Accuracy :66.66666666666666 	 
cycle : 73 	 Accuracy :70.83333333333334 	 
cycle : 74 	 Accuracy :66.66666666666666 	 
cycle : 75 	 Accuracy :70.83333333333334 	 
cycle : 76 	 Accuracy :66.66666666666666 	 
cycle : 77 	 Accuracy :70.83333333333334 	 
cycle : 78 	 Accuracy :66.66666666666666 	 
cycle : 79 	 Accuracy :70.83333333333334 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :16.666666666666664 	 
cycle : 2 	 Accuracy :20.833333333333336 	 
Cycle: 3 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 1
cycle : 4 	 Accuracy :29.166666666666668 	 
cycle : 5 	 Accuracy :33.33333333333333 	 
cycle : 6 	 Accuracy :29.166666666666668 	 
Cycle: 7 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
Cycle: 8 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 2
Cycle: 9 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 3
Cycle: 10 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 4
Cycle: 11 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 5
cycle : 12 	 Accuracy :33.33333333333333 	 
Cycle: 13 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
Cycle: 14 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 2
Cycle: 15 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 3
Cycle: 16 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 4
Cycle: 17 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 5
Cycle: 18 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 6
Cycle: 19 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 7
Cycle: 20 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 8
Cycle: 21 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 9
Cycle: 22 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 10
Cycle: 23 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 11
Cycle: 24 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 12
Cycle: 25 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 13
Cycle: 26 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 14
Cycle: 27 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 15
Cycle: 28 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 16
Cycle: 29 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 17
Cycle: 30 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 18
Cycle: 31 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 19
Cycle: 32 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 20
Cycle: 33 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 21
Cycle: 34 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 22
Cycle: 35 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 23
Cycle: 36 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 24
Cycle: 37 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 25
Cycle: 38 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 26
Cycle: 39 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 27
Cycle: 40 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 28
Cycle: 41 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 29
Cycle: 42 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 30
Cycle: 43 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 31
Cycle: 44 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 32
Cycle: 45 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 33
Cycle: 46 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 34
Cycle: 47 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 35
Cycle: 48 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 36
cycle : 49 	 Accuracy :29.166666666666668 	 
Cycle: 50 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
Cycle: 51 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 2
Cycle: 52 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 3
Cycle: 53 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 4
Cycle: 54 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 5
Cycle: 55 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 6
Cycle: 56 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 7
Cycle: 57 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 8
Cycle: 58 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 9
cycle : 59 	 Accuracy :33.33333333333333 	 
Cycle: 60 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
Cycle: 61 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 2
Cycle: 62 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 3
Cycle: 63 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 4
Cycle: 64 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 5
Cycle: 65 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 6
Cycle: 66 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 7
Cycle: 67 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 8
Cycle: 68 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 9
Cycle: 69 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 10
Cycle: 70 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 11
cycle : 71 	 Accuracy :29.166666666666668 	 
Cycle: 72 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
Cycle: 73 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 2
Cycle: 74 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 3
Cycle: 75 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 4
Cycle: 76 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 5
Cycle: 77 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 6
Cycle: 78 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 7
Cycle: 79 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 8
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :16.666666666666664 	 
cycle : 2 	 Accuracy :20.833333333333336 	 
cycle : 3 	 Accuracy :16.666666666666664 	 
Cycle: 4 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 1
Cycle: 5 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 2
cycle : 6 	 Accuracy :20.833333333333336 	 
Cycle: 7 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 1
Cycle: 8 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 2
Cycle: 9 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 3
Cycle: 10 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 4
Cycle: 11 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 5
Cycle: 12 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 6
Cycle: 13 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 7
Cycle: 14 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 8
Cycle: 15 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 9
Cycle: 16 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 10
Cycle: 17 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 11
Cycle: 18 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 12
Cycle: 19 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 13
Cycle: 20 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 14
Cycle: 21 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 15
Cycle: 22 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 16
Cycle: 23 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 17
Cycle: 24 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 18
Cycle: 25 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 19
Cycle: 26 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 20
Cycle: 27 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 21
Cycle: 28 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 22
Cycle: 29 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 23
Cycle: 30 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 24
Cycle: 31 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 25
Cycle: 32 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 26
Cycle: 33 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 27
Cycle: 34 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 28
Cycle: 35 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 29
Cycle: 36 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 30
Cycle: 37 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 31
Cycle: 38 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 32
Cycle: 39 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 33
Cycle: 40 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 34
Cycle: 41 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 35
Cycle: 42 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 36
Cycle: 43 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 37
Cycle: 44 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 38
Cycle: 45 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 39
Cycle: 46 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 40
Cycle: 47 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 41
Cycle: 48 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 42
Cycle: 49 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 43
Cycle: 50 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 44
Cycle: 51 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 45
Cycle: 52 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 46
Cycle: 53 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 47
Cycle: 54 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 48
Cycle: 55 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 49
Cycle: 56 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 50
Cycle: 57 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 51
Cycle: 58 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 52
Cycle: 59 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 53
Cycle: 60 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 54
Cycle: 61 	 Saturated Accuracy : 20.833333333333336 	 Number of times repeated 55
