TaxiPassangerPredictionExperiment637842401792866881.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :16.666666666666664 	 
cycle : 65 	 Accuracy :0 	 
cycle : 66 	 Accuracy :0 	 
cycle : 67 	 Accuracy :0 	 
cycle : 68 	 Accuracy :0 	 
cycle : 69 	 Accuracy :0 	 
cycle : 70 	 Accuracy :0 	 
cycle : 71 	 Accuracy :0 	 
cycle : 72 	 Accuracy :0 	 
cycle : 73 	 Accuracy :0 	 
cycle : 74 	 Accuracy :0 	 
cycle : 75 	 Accuracy :0 	 
cycle : 76 	 Accuracy :0 	 
cycle : 77 	 Accuracy :0 	 
cycle : 78 	 Accuracy :0 	 
cycle : 79 	 Accuracy :0 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :4.166666666666666 	 
cycle : 3 	 Accuracy :20.833333333333336 	 
cycle : 4 	 Accuracy :25 	 
cycle : 5 	 Accuracy :29.166666666666668 	 
cycle : 6 	 Accuracy :25 	 
cycle : 7 	 Accuracy :33.33333333333333 	 
cycle : 8 	 Accuracy :29.166666666666668 	 
cycle : 9 	 Accuracy :20.833333333333336 	 
cycle : 10 	 Accuracy :29.166666666666668 	 
cycle : 11 	 Accuracy :25 	 
cycle : 12 	 Accuracy :33.33333333333333 	 
cycle : 13 	 Accuracy :25 	 
cycle : 14 	 Accuracy :33.33333333333333 	 
cycle : 15 	 Accuracy :29.166666666666668 	 
Cycle: 16 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
Cycle: 17 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 2
cycle : 18 	 Accuracy :33.33333333333333 	 
cycle : 19 	 Accuracy :37.5 	 
cycle : 20 	 Accuracy :33.33333333333333 	 
cycle : 21 	 Accuracy :29.166666666666668 	 
cycle : 22 	 Accuracy :33.33333333333333 	 
cycle : 23 	 Accuracy :37.5 	 
cycle : 24 	 Accuracy :45.83333333333333 	 
cycle : 25 	 Accuracy :37.5 	 
cycle : 26 	 Accuracy :33.33333333333333 	 
Cycle: 27 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
cycle : 28 	 Accuracy :41.66666666666667 	 
Cycle: 29 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 30 	 Accuracy :45.83333333333333 	 
Cycle: 31 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
cycle : 32 	 Accuracy :41.66666666666667 	 
cycle : 33 	 Accuracy :37.5 	 
cycle : 34 	 Accuracy :41.66666666666667 	 
Cycle: 35 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 36 	 Accuracy :45.83333333333333 	 
cycle : 37 	 Accuracy :41.66666666666667 	 
Cycle: 38 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 39 	 Accuracy :37.5 	 
Cycle: 40 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
cycle : 41 	 Accuracy :41.66666666666667 	 
Cycle: 42 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
Cycle: 43 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 2
cycle : 44 	 Accuracy :37.5 	 
cycle : 45 	 Accuracy :41.66666666666667 	 
cycle : 46 	 Accuracy :45.83333333333333 	 
cycle : 47 	 Accuracy :41.66666666666667 	 
Cycle: 48 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 49 	 Accuracy :45.83333333333333 	 
cycle : 50 	 Accuracy :41.66666666666667 	 
cycle : 51 	 Accuracy :45.83333333333333 	 
cycle : 52 	 Accuracy :41.66666666666667 	 
Cycle: 53 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 54 	 Accuracy :37.5 	 
Cycle: 55 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
cycle : 56 	 Accuracy :41.66666666666667 	 
Cycle: 57 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
Cycle: 58 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 2
Cycle: 59 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 3
Cycle: 60 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 4
Cycle: 61 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 5
Cycle: 62 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 6
Cycle: 63 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 7
Cycle: 64 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 8
cycle : 65 	 Accuracy :37.5 	 
Cycle: 66 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
cycle : 67 	 Accuracy :41.66666666666667 	 
Cycle: 68 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 69 	 Accuracy :37.5 	 
cycle : 70 	 Accuracy :41.66666666666667 	 
Cycle: 71 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 72 	 Accuracy :33.33333333333333 	 
cycle : 73 	 Accuracy :41.66666666666667 	 
cycle : 74 	 Accuracy :37.5 	 
Cycle: 75 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
cycle : 76 	 Accuracy :33.33333333333333 	 
cycle : 77 	 Accuracy :37.5 	 
cycle : 78 	 Accuracy :33.33333333333333 	 
cycle : 79 	 Accuracy :41.66666666666667 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :4.166666666666666 	 
cycle : 2 	 Accuracy :12.5 	 
cycle : 3 	 Accuracy :20.833333333333336 	 
cycle : 4 	 Accuracy :25 	 
cycle : 5 	 Accuracy :33.33333333333333 	 
Cycle: 6 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
cycle : 7 	 Accuracy :41.66666666666667 	 
Cycle: 8 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
Cycle: 9 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 2
cycle : 10 	 Accuracy :45.83333333333333 	 
cycle : 11 	 Accuracy :50 	 
cycle : 12 	 Accuracy :41.66666666666667 	 
Cycle: 13 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 14 	 Accuracy :45.83333333333333 	 
cycle : 15 	 Accuracy :37.5 	 
cycle : 16 	 Accuracy :41.66666666666667 	 
Cycle: 17 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 18 	 Accuracy :45.83333333333333 	 
Cycle: 19 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
Cycle: 20 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 2
cycle : 21 	 Accuracy :41.66666666666667 	 
cycle : 22 	 Accuracy :45.83333333333333 	 
cycle : 23 	 Accuracy :50 	 
cycle : 24 	 Accuracy :45.83333333333333 	 
Cycle: 25 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
Cycle: 26 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 2
Cycle: 27 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 3
cycle : 28 	 Accuracy :41.66666666666667 	 
cycle : 29 	 Accuracy :37.5 	 
Cycle: 30 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
Cycle: 31 	 Saturated Accuracy : 37.5 	 Number of times repeated 2
cycle : 32 	 Accuracy :41.66666666666667 	 
cycle : 33 	 Accuracy :37.5 	 
cycle : 34 	 Accuracy :41.66666666666667 	 
cycle : 35 	 Accuracy :45.83333333333333 	 
Cycle: 36 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
cycle : 37 	 Accuracy :41.66666666666667 	 
cycle : 38 	 Accuracy :45.83333333333333 	 
Cycle: 39 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
Cycle: 40 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 2
Cycle: 41 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 3
Cycle: 42 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 4
Cycle: 43 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 5
Cycle: 44 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 6
cycle : 45 	 Accuracy :50 	 
cycle : 46 	 Accuracy :45.83333333333333 	 
Cycle: 47 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
Cycle: 48 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 2
Cycle: 49 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 3
Cycle: 50 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 4
Cycle: 51 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 5
cycle : 52 	 Accuracy :41.66666666666667 	 
cycle : 53 	 Accuracy :45.83333333333333 	 
Cycle: 54 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
cycle : 55 	 Accuracy :50 	 
cycle : 56 	 Accuracy :45.83333333333333 	 
cycle : 57 	 Accuracy :50 	 
cycle : 58 	 Accuracy :45.83333333333333 	 
cycle : 59 	 Accuracy :50 	 
cycle : 60 	 Accuracy :45.83333333333333 	 
cycle : 61 	 Accuracy :50 	 
cycle : 62 	 Accuracy :45.83333333333333 	 
cycle : 63 	 Accuracy :50 	 
cycle : 64 	 Accuracy :45.83333333333333 	 
cycle : 65 	 Accuracy :50 	 
Cycle: 66 	 Saturated Accuracy : 50 	 Number of times repeated 1
Cycle: 67 	 Saturated Accuracy : 50 	 Number of times repeated 2
Cycle: 68 	 Saturated Accuracy : 50 	 Number of times repeated 3
cycle : 69 	 Accuracy :45.83333333333333 	 
cycle : 70 	 Accuracy :50 	 
cycle : 71 	 Accuracy :45.83333333333333 	 
cycle : 72 	 Accuracy :50 	 
cycle : 73 	 Accuracy :45.83333333333333 	 
Cycle: 74 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
Cycle: 75 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 2
cycle : 76 	 Accuracy :50 	 
cycle : 77 	 Accuracy :45.83333333333333 	 
Cycle: 78 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
cycle : 79 	 Accuracy :41.66666666666667 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :4.166666666666666 	 
Cycle: 5 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
cycle : 6 	 Accuracy :8.333333333333332 	 
Cycle: 7 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 1
cycle : 8 	 Accuracy :12.5 	 
Cycle: 9 	 Saturated Accuracy : 12.5 	 Number of times repeated 1
Cycle: 10 	 Saturated Accuracy : 12.5 	 Number of times repeated 2
Cycle: 11 	 Saturated Accuracy : 12.5 	 Number of times repeated 3
Cycle: 12 	 Saturated Accuracy : 12.5 	 Number of times repeated 4
Cycle: 13 	 Saturated Accuracy : 12.5 	 Number of times repeated 5
cycle : 14 	 Accuracy :16.666666666666664 	 
Cycle: 15 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 1
Cycle: 16 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 2
Cycle: 17 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 3
Cycle: 18 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 4
Cycle: 19 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 5
Cycle: 20 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 6
Cycle: 21 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 7
Cycle: 22 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 8
Cycle: 23 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 9
Cycle: 24 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 10
Cycle: 25 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 11
Cycle: 26 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 12
Cycle: 27 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 13
Cycle: 28 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 14
Cycle: 29 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 15
Cycle: 30 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 16
Cycle: 31 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 17
Cycle: 32 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 18
Cycle: 33 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 19
Cycle: 34 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 20
Cycle: 35 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 21
Cycle: 36 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 22
Cycle: 37 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 23
Cycle: 38 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 24
Cycle: 39 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 25
Cycle: 40 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 26
Cycle: 41 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 27
Cycle: 42 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 28
Cycle: 43 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 29
Cycle: 44 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 30
Cycle: 45 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 31
Cycle: 46 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 32
Cycle: 47 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 33
Cycle: 48 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 34
Cycle: 49 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 35
Cycle: 50 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 36
Cycle: 51 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 37
Cycle: 52 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 38
Cycle: 53 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 39
Cycle: 54 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 40
Cycle: 55 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 41
Cycle: 56 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 42
Cycle: 57 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 43
Cycle: 58 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 44
Cycle: 59 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 45
Cycle: 60 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 46
Cycle: 61 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 47
Cycle: 62 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 48
Cycle: 63 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 49
Cycle: 64 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 50
Cycle: 65 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 51
Cycle: 66 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 52
Cycle: 67 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 53
Cycle: 68 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 54
Cycle: 69 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 55
Cycle: 70 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 56
Cycle: 71 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 57
Cycle: 72 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 58
Cycle: 73 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 59
Cycle: 74 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 60
Cycle: 75 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 61
Cycle: 76 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 62
Cycle: 77 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 63
Cycle: 78 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 64
Cycle: 79 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 65
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :0 	 
cycle : 7 	 Accuracy :0 	 
cycle : 8 	 Accuracy :0 	 
cycle : 9 	 Accuracy :0 	 
cycle : 10 	 Accuracy :0 	 
cycle : 11 	 Accuracy :0 	 
cycle : 12 	 Accuracy :0 	 
cycle : 13 	 Accuracy :0 	 
cycle : 14 	 Accuracy :0 	 
cycle : 15 	 Accuracy :0 	 
cycle : 16 	 Accuracy :0 	 
cycle : 17 	 Accuracy :0 	 
cycle : 18 	 Accuracy :0 	 
cycle : 19 	 Accuracy :0 	 
cycle : 20 	 Accuracy :0 	 
cycle : 21 	 Accuracy :0 	 
cycle : 22 	 Accuracy :0 	 
cycle : 23 	 Accuracy :0 	 
cycle : 24 	 Accuracy :0 	 
cycle : 25 	 Accuracy :0 	 
cycle : 26 	 Accuracy :0 	 
cycle : 27 	 Accuracy :0 	 
cycle : 28 	 Accuracy :0 	 
cycle : 29 	 Accuracy :0 	 
cycle : 30 	 Accuracy :0 	 
cycle : 31 	 Accuracy :0 	 
cycle : 32 	 Accuracy :0 	 
cycle : 33 	 Accuracy :0 	 
cycle : 34 	 Accuracy :0 	 
cycle : 35 	 Accuracy :0 	 
cycle : 36 	 Accuracy :0 	 
cycle : 37 	 Accuracy :0 	 
cycle : 38 	 Accuracy :0 	 
cycle : 39 	 Accuracy :0 	 
cycle : 40 	 Accuracy :0 	 
cycle : 41 	 Accuracy :0 	 
cycle : 42 	 Accuracy :0 	 
cycle : 43 	 Accuracy :0 	 
cycle : 44 	 Accuracy :0 	 
cycle : 45 	 Accuracy :0 	 
cycle : 46 	 Accuracy :0 	 
cycle : 47 	 Accuracy :0 	 
cycle : 48 	 Accuracy :0 	 
cycle : 49 	 Accuracy :0 	 
cycle : 50 	 Accuracy :0 	 
cycle : 51 	 Accuracy :0 	 
cycle : 52 	 Accuracy :0 	 
cycle : 53 	 Accuracy :0 	 
cycle : 54 	 Accuracy :0 	 
cycle : 55 	 Accuracy :0 	 
cycle : 56 	 Accuracy :0 	 
cycle : 57 	 Accuracy :0 	 
cycle : 58 	 Accuracy :0 	 
cycle : 59 	 Accuracy :0 	 
cycle : 60 	 Accuracy :0 	 
cycle : 61 	 Accuracy :0 	 
cycle : 62 	 Accuracy :0 	 
cycle : 63 	 Accuracy :0 	 
cycle : 64 	 Accuracy :0 	 
cycle : 65 	 Accuracy :0 	 
cycle : 66 	 Accuracy :0 	 
cycle : 67 	 Accuracy :0 	 
cycle : 68 	 Accuracy :0 	 
cycle : 69 	 Accuracy :0 	 
cycle : 70 	 Accuracy :0 	 
cycle : 71 	 Accuracy :0 	 
cycle : 72 	 Accuracy :0 	 
cycle : 73 	 Accuracy :0 	 
cycle : 74 	 Accuracy :0 	 
cycle : 75 	 Accuracy :0 	 
cycle : 76 	 Accuracy :0 	 
cycle : 77 	 Accuracy :0 	 
cycle : 78 	 Accuracy :0 	 
cycle : 79 	 Accuracy :0 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :0 	 
cycle : 7 	 Accuracy :0 	 
cycle : 8 	 Accuracy :0 	 
cycle : 9 	 Accuracy :0 	 
cycle : 10 	 Accuracy :0 	 
cycle : 11 	 Accuracy :0 	 
cycle : 12 	 Accuracy :0 	 
cycle : 13 	 Accuracy :0 	 
